se_setor	qu_setor	nome	
	SRIA I		
	SRIA II		
	SRIA I		
	SRIA I		
	SRIA I		
	SRIA I		
	SRIA I		
	SRIA II		
	SRIA II		
	SHIS		
	SITIO DO GAMA		
	SHIS		
	SITIO DO GAMA		
	ADE OESTE		
	SETOR CENTRAL		
	ADE OESTE		
	SRIA II		
	SRIA II		
	SRIA II		
	SRIA II		
	SHIN		
	SETOR OESTE		
	SHIN		
	SHIS		
	SITIO DO GAMA		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHTQ		
	SHIS		
	SHIN		
	SHIN		
	SETOR OESTE		
	SHIS		
	SHIN		
	SHIN		
	SITIO DO GAMA		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SETOR OESTE		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	ADE OESTE		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SETOR CENTRAL		
	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
	SHIN		
	SHIN		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIN		
	SHIS		
	MSPW		
	SHIS		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	ADE		
	SHIS		
	SITIO DO GAMA		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SITIO DO GAMA		
	SIA		
	SITIO DO GAMA		
	SHIN		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SETOR OESTE		
	SHIN		
	SHIN		
	SHIS		
	MSPW		
	SHIN		
	SHIS		
	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SETOR LESTE		
	SETOR CENTRAL		
	SHIN		
	SHIS		
	SHIN		
	SHIS		
	SHCES		
	SHIS		
	SCIA		
	SHIN		
	SHIS		
	SITIO DO GAMA		
	SHIN		
	MSPW		
	SHIS		
	SHIS		
	ADE POLO JK		
	SHIN		
	SHIS		
	CENTRO URBANO		
	SETOR CENTRAL		
	CENTRO URBANO		
	CENTRO URBANO		
	CENTRO URBANO		
	SITIO DO GAMA		
	SHIN		
	SHIS		
	SHIN		
	SETOR DE INDUSTRIA		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SETOR CENTRAL		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	ADE		
	SHIS		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIN		
	SETOR CENTRAL		
	SETOR B NORTE		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIN		
	SHIN		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIN		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SETOR F SUL		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	RIACHO FUNDO II		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SETOR CENTRAL		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SML		
	SHIN		
	SETOR OESTE		
	SHIN		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SML		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SML		
	SHIN		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SML		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SML		
	SHIN		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SETOR OESTE		
	SHTQ		
	SHTQ		
	SCIA		
	SCIA		
	SCIA		
	SCIA		
	SIA		
	SETOR OESTE		
	SHTQ		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR LESTE		
	SETOR CENTRAL		
	MSPW		
	MSPW		
	SIA		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SIA		
	SETOR DE INDUSTRIA		
	SETOR SUL		
	SIA		
	SIA		
	SIA		
	SETOR CENTRAL		
	SETOR SUL		
	SETOR LESTE		
	SETOR LESTE		
	SETOR CENTRAL		
	SIA		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR OESTE		
	STRC		
	SIA		
	SETOR SUL		
	SETOR DE INDUSTRIA		
	SETOR OESTE		
	SETOR DE INDUSTRIA		
	SETOR SUL		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR OESTE		
	STRC		
	STRC		
	SIA		
	SIA		
	SIA		
	SETOR D SUL		
	SIA		
	SETOR CENTRAL		
	SETOR LESTE		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SIA		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR SUL		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR LESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR QI		
	STRC		
	SETOR LESTE		
	SIA		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR SUL		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR OESTE		
	SETOR SUL		
	SETOR SUL		
	SETOR CENTRAL		
	SETOR N NORTE		
	SETOR DE INDUSTRIA		
	SETOR OESTE		
	SETOR OESTE		
	SETOR DE INDUSTRIA		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR CENTRAL		
	SETOR SUL		
	SETOR SUL		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR SUL		
	SETOR DE INDUSTRIA		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR DE INDUSTRIA		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR OESTE		
	SETOR SUL		
	SETOR SUL		
	SETOR OESTE		
	SETOR LESTE		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR E SUL		
	SETOR NORTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR LESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR NORTE		
	SETOR LESTE		
	SCLS		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR B NORTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR SUL		
	SETOR LESTE		
	SETOR SUL		
	SETOR SUL		
	SETOR OESTE		
	SETOR QI		
	SETOR SUL		
	SETOR SUL		
	SETOR CENTRAL		
	SETOR B SUL		
	SETOR SUL		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR LESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR LESTE		
	VILA VICENTINA		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR C SUL		
	SETOR LESTE		
	SETOR F NORTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR B NORTE		
	SETOR C NORTE		
	SHCNW		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR B NORTE		
	SETOR NORTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR A NORTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR N NORTE		
	SETOR ITAMARACA		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	VILA VICENTINA		
	SETOR LESTE		
	SETOR LESTE		
	SETOR F SUL		
	SETOR LESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR H NORTE		
	SHCNW		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR E SUL		
	SETOR LESTE		
	SETOR F SUL		
	SETOR D SUL		
	SETOR B SUL		
	SETOR F SUL		
	SETOR LESTE		
	SETOR LESTE		
	SETOR OESTE		
	SETOR A NORTE		
	SETOR NORTE		
	SETOR LESTE		
	SETOR C NORTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR D SUL		
	SETOR LESTE		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR NORTE		
	SETOR F NORTE		
	SHCNW		
	SETOR LESTE		
	SETOR CENTRAL		
	SETOR F SUL		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR LESTE		
	SETOR LESTE		
	SETOR SUL		
	SETOR E SUL		
	SETOR E SUL		
	SETOR D SUL		
	SETOR SUL		
	SETOR OESTE		
	SETOR NORTE		
	SHCNW		
	SCLS		
	SETOR NORTE		
	SETOR OESTE		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR L NORTE		
	SETOR H NORTE		
	SETOR E SUL		
	SETOR L NORTE		
	SETOR F NORTE		
	SETOR F NORTE		
	SETOR C NORTE		
	SETOR A NORTE		
	SETOR L NORTE		
	SETOR F NORTE		
	SETOR F NORTE		
	SETOR F SUL		
	SETOR E SUL		
	SETOR C NORTE		
	SETOR J NORTE		
	SETOR A NORTE		
	SETOR B NORTE		
	SETOR B NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR B NORTE		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR C SUL		
	SETOR A NORTE		
	SETOR C NORTE		
	SETOR D SUL		
	SETOR D SUL		
	SETOR F SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR E SUL		
	SETOR C SUL		
	SETOR H NORTE		
	SETOR C SUL		
	SETOR H NORTE		
	SETOR F NORTE		
	SETOR F NORTE		
	SETOR A NORTE		
	SETOR CENTRAL		
	SETOR B NORTE		
	SHCNW		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR B NORTE		
	SETOR A SUL		
	SETOR A NORTE		
	SETOR C NORTE		
	SETOR C SUL		
	SETOR C SUL		
	SETOR C NORTE		
	SETOR C NORTE		
	SETOR L NORTE		
	SETOR B NORTE		
	SETOR B NORTE		
	SETOR F SUL		
	SETOR F SUL		
	SETOR E SUL		
	SETOR E SUL		
	SEPN		
	SETOR E SUL		
	SETOR B NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR B NORTE		
	SETOR B NORTE		
	SETOR B NORTE		
	SETOR L NORTE		
	SETOR C SUL		
	SETOR C SUL		
	SETOR E SUL		
	SETOR G SUL		
	SETOR D SUL		
	SETOR F NORTE		
	SETOR D SUL		
	SETOR D SUL		
	SETOR G SUL		
	SETOR A SUL		
	SETOR C SUL		
	SETOR G SUL		
	SETOR C SUL		
	SETOR G SUL		
	SETOR G SUL		
	SETOR G SUL		
	SHCSW		
	SETOR G SUL		
	SETOR E SUL		
	SETOR G SUL		
	SETOR C SUL		
	RIACHO FUNDO II		
	SETOR C SUL		
	SETOR CENTRAL		
	SETOR E SUL		
	SETOR B SUL		
	SETOR E SUL		
	SETOR C SUL		
	SETOR C SUL		
	SETOR C SUL		
	Q CENTRAL SETOR ADMINISTRATIVO		
	SETOR J NORTE		
	SETOR D SUL		
	SETOR D SUL		
	SHCES		
	SETOR C SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR B SUL		
	SETOR D SUL		
	SETOR P NORTE		
	SETOR D SUL		
	SETOR D SUL		
	SETOR C SUL		
	SETOR C SUL		
	SETOR D SUL		
	SETOR C SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR N NORTE		
	SETOR D SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR C SUL		
	SETOR B NORTE		
	SETOR C SUL		
	SETOR C SUL		
	SETOR C SUL		
	SETOR C SUL		
	SETOR C SUL		
	SETOR A SUL		
	SETOR C SUL		
	SETOR QI		
	SETOR D SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR D SUL		
	SHIGS		
	SETOR F NORTE		
	SETOR F NORTE		
	SETOR C SUL		
	SETOR F NORTE		
	SETOR L NORTE		
	SETOR F SUL		
	SETOR C NORTE		
	SETOR F SUL		
	SETOR F SUL		
	SETOR G SUL		
	SETOR D SUL		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR D SUL		
	SETOR A NORTE		
	SETOR G SUL		
	SETOR B SUL		
	SETOR F SUL		
	SETOR C SUL		
	SETOR QI		
	SETOR C NORTE		
	SETOR C SUL		
	SETOR A SUL		
	SETOR G NORTE		
	SETOR C NORTE		
	SETOR L NORTE		
	SETOR B SUL		
	SEPN		
	SETOR E SUL		
	SETOR J NORTE		
	SETOR C NORTE		
	SETOR B NORTE		
	SETOR F NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR F NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR F NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR DE INDUSTRIA		
	SETOR B NORTE		
	SETOR B NORTE		
	SETOR B NORTE		
	SETOR A NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR D SUL		
	SETOR D SUL		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR E SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR D SUL		
	SETOR G SUL		
	SETOR G SUL		
	SETOR D SUL		
	SETOR TRADICIONAL		
	SETOR D SUL		
	SETOR G NORTE		
	SETOR F SUL		
	SETOR M NORTE		
	SETOR G NORTE		
	SETOR QI		
	SETOR L NORTE		
	SETOR L NORTE		
	SETOR G NORTE		
	SETOR L NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SHCNW		
	SEPS		
	SETOR A SUL		
	SETOR F NORTE		
	SETOR A SUL		
	SETOR A NORTE		
	SETOR A NORTE		
	SCLN		
	SETOR D NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR D SUL		
	SETOR D SUL		
	SETOR F NORTE		
	SETOR L NORTE		
	SETOR F NORTE		
	SETOR M NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR F NORTE		
	SETOR F NORTE		
	SETOR F NORTE		
	SETOR A SUL		
	SHIGS		
	SETOR L NORTE		
	SETOR A SUL		
	SETOR L NORTE		
	SETOR L NORTE		
	SETOR E SUL		
	SETOR L NORTE		
	SETOR F NORTE		
	SETOR A SUL		
	SETOR A SUL		
	SETOR F SUL		
	SETOR E SUL		
	SETOR M NORTE		
	SETOR H NORTE		
	SETOR E SUL		
	SETOR F SUL		
	SETOR E SUL		
	SETOR E SUL		
	SETOR G NORTE		
	SETOR E SUL		
	SETOR A SUL		
	SETOR E SUL		
	SETOR C SUL		
	SETOR E SUL		
	SETOR E SUL		
	SETOR G NORTE		
	SETOR A SUL		
	SETOR E SUL		
	SETOR A NORTE		
	SETOR E SUL		
	SETOR E SUL		
	SETOR B SUL		
	SETOR L NORTE		
	SETOR A SUL		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR A SUL		
	SETOR A NORTE		
	SETOR H NORTE		
	SETOR D NORTE		
	SETOR E SUL		
	SETOR B SUL		
	SETOR C SUL		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR A NORTE		
	SETOR INDUSTRIAL		
	SETOR H NORTE		
	SETOR A NORTE		
	SETOR H NORTE		
	SETOR M NORTE		
	SETOR G NORTE		
	SETOR B SUL		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	Q CENTRAL SETOR ADMINISTRATIVO E CULTURAL		
	SHCNW		
	SETOR A NORTE		
	SETOR QI		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SHCES		
	SETOR A NORTE		
	SETOR L NORTE		
	SETOR L NORTE		
	SETOR H NORTE		
	SETOR B SUL		
	SETOR H NORTE		
	SETOR E NORTE		
	SETOR D NORTE		
	SETOR QI		
	SETOR M NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR QI		
	SETOR QI		
	SETOR L NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SGAS		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR L NORTE		
	SETOR L NORTE		
	SETOR G NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR L NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR A SUL		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR E NORTE		
	SRES		
	SETOR E NORTE		
	SHIGS		
	SHCSW		
	SETOR A NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR QI		
	SETOR RESIDENCIAL LESTE		
	SETOR L NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR A SUL		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR C NORTE		
	SETOR C NORTE		
	SETOR B NORTE		
	SHCNW		
	SETOR J NORTE		
	SETOR A NORTE		
	SETOR J NORTE		
	SETOR A SUL		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SHCES		
	SETOR A NORTE		
	SETOR QI		
	CENTRO METROPOLITANO		
	SETOR M NORTE		
	SETOR L NORTE		
	SHCES		
	SETOR J NORTE		
	SETOR C SUL		
	SETOR A SUL		
	SHIGS		
	SETOR A SUL		
	SETOR A SUL		
	SETOR J NORTE		
	SETOR B SUL		
	SETOR A SUL		
	SETOR A SUL		
	SETOR A SUL		
	SETOR B SUL		
	SETOR B SUL		
	SHCNW		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR Q NORTE		
	SETOR L NORTE		
	SETOR D NORTE		
	SETOR P NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	VILA DNOCS		
	RIACHO FUNDO II		
	SETOR L NORTE		
	SETOR D NORTE		
	SETOR E NORTE		
	SETOR J NORTE		
	SETOR C NORTE		
	SETOR A SUL		
	SETOR B SUL		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR A NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SHCSW		
	SETOR D NORTE		
	SETOR J NORTE		
	SCLS		
	SETOR H NORTE		
	SETOR DE INDUSTRIA		
	SETOR J NORTE		
	SETOR H NORTE		
	SETOR E NORTE		
	SETOR H NORTE		
	SETOR H NORTE		
	SETOR H NORTE		
	SETOR J NORTE		
	SCLS		
	SETOR H NORTE		
	SETOR H NORTE		
	SETOR M NORTE		
	SETOR M NORTE		
	SHCSW		
	SHCNW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR M NORTE		
	SETOR M NORTE		
	SETOR M NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR J NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR J NORTE		
	SETOR E NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCNW		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR N NORTE		
	SHCSW		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR G NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SHCNW		
	SETOR J NORTE		
	SETOR D NORTE		
	SETOR E NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR O NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR L NORTE		
	SETOR D NORTE		
	SETOR L NORTE		
	SETOR L NORTE		
	SETOR DE INDUSTRIA		
	SEPS		
	SETOR J NORTE		
	SETOR L NORTE		
	SETOR L NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR J NORTE		
	SETOR G NORTE		
	Q CENTRAL SETOR COMERCIAL		
	SETOR INDUSTRIAL		
	SETOR L NORTE		
	SETOR G NORTE		
	SETOR G NORTE		
	SHCES		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR H NORTE		
	SCLS		
	SETOR J NORTE		
	SETOR D NORTE		
	SHCNW		
	SETOR J NORTE		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR L NORTE		
	SETOR NORTE		
	SETOR D NORTE		
	SETOR J NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR E NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR N NORTE		
	SETOR E NORTE		
	VILA VICENTINA		
	SETOR D NORTE		
	SETOR E NORTE		
	SETOR J NORTE		
	SETOR RESIDENCIAL NORTE A		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR E NORTE		
	VILA VICENTINA		
	SETOR E NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR E NORTE		
	SETOR E NORTE		
	SETOR Q NORTE		
	SETOR E NORTE		
	SHCSW		
	SETOR E NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR D NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR D NORTE		
	EXPANSAO URBANA SETOR OESTE		
	SETOR D NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR D NORTE		
	EXPANSAO URBANA SETOR OESTE		
	SGAS		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR N NORTE		
	SETOR D NORTE		
	SHCSW		
	SETOR D NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR D NORTE		
	SETOR D NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR D NORTE		
	SETOR DE EXPANSAO ECONOMICA		
	SETOR Q NORTE		
	EXPANSAO URBANA SETOR OESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SCLS		
